scoreID,match,team,color
338,85,11053,red
339,85,7776,blue
340,85,11138,blue
341,86,5009,red
342,86,9778,red
343,86,12016,blue
344,86,8651,blue
345,87,5190,red
346,87,7224,red
347,87,7209,blue
348,87,417,blue
349,88,14217,red
350,88,5815,red
351,88,11089,blue
352,88,11256,blue
353,89,9804,red
354,89,5214,red
355,89,4133,blue
356,89,7802,blue
357,90,11104,red
358,90,4602,red
359,90,10641,blue
360,90,14290,blue
361,91,5119,red
362,91,9662,red
363,91,7105,blue
364,91,5667,blue
365,92,12499,red
366,92,14241,red
367,92,14240,blue
368,92,4216,blue
369,93,7477,red
370,93,3409,red
371,93,12808,blue
372,93,4042,blue
373,94,5110,red
374,94,9441,red
375,94,4641,blue
376,94,5220,blue
377,95,7593,red
378,95,8375,red
379,95,12503,blue
380,95,408,blue
381,96,10219,red
382,96,8081,red
383,96,12670,blue
384,96,3101,blue
385,97,9778,red
386,97,5190,red
387,97,14217,blue
388,97,9048,blue
389,98,5009,red
390,98,6929,red
391,98,11053,blue
392,98,11104,blue
393,99,5667,red
394,99,11256,red
395,99,11138,blue
396,99,14210,blue
397,100,11089,red
398,100,5214,red
399,100,12016,blue
400,100,12993,blue
401,101,6436,red
402,101,6220,red
403,101,11737,blue
404,101,4602,blue
405,102,10641,red
406,102,9662,red
407,102,10337,blue
408,102,7477,blue
409,103,359,red
410,103,408,red
411,103,5110,blue
412,103,14290,blue
413,104,4042,red
414,104,6547,red
415,104,5119,blue
416,104,11411,blue
417,105,417,red
418,105,7776,red
419,105,8081,blue
420,105,7161,blue
421,106,6109,red
422,106,8372,red
423,106,7209,blue
424,106,9804,blue
425,107,9761,red
426,107,5220,red
427,107,5815,blue
428,107,14240,blue
429,108,12808,red
430,108,14241,red
431,108,7224,blue
432,108,3101,blue
433,109,4216,red
434,109,12973,red
435,109,3409,blue
436,109,4641,blue
437,110,7802,red
438,110,7593,red
439,110,12499,blue
440,110,10219,blue
441,111,9441,red
442,111,7105,red
443,111,8375,blue
444,111,6322,blue
445,112,12670,red
446,112,4133,red
447,112,8651,blue
448,112,12503,blue
449,113,11104,red
450,113,4042,red
451,113,408,blue
452,113,8081,blue
453,114,7209,red
454,114,14210,red
455,114,6547,blue
456,114,14290,blue
457,115,5214,red
458,115,7477,red
459,115,6109,blue
460,115,417,blue
461,116,5009,red
462,116,5110,red
463,116,10641,blue
464,116,11138,blue
465,117,11089,red
466,117,9662,red
467,117,6929,blue
468,117,14241,blue
469,118,11256,red
470,118,10219,red
471,118,9048,blue
472,118,8372,blue
473,119,12808,red
474,119,11411,red
475,119,4602,blue
476,119,6322,blue
477,120,4641,red
478,120,8651,red
479,120,9761,blue
480,120,3101,blue
481,121,9441,red
482,121,14240,red
483,121,9778,blue
484,121,12993,blue
485,122,5119,red
486,122,11053,red
487,122,12973,blue
488,122,12499,blue
489,123,10337,red
490,123,12016,red
491,123,5190,blue
492,123,5815,blue
493,124,12503,red
494,124,7802,red
495,124,11737,blue
496,124,7776,blue
497,125,12670,red
498,125,4216,red
499,125,7224,blue
500,125,7593,blue
501,126,9804,red
502,126,3409,red
503,126,5667,blue
504,126,8375,blue
505,127,6220,red
506,127,7161,red
507,127,5220,blue
508,127,7105,blue
509,128,14217,red
510,128,4133,red
511,128,6436,blue
512,128,359,blue
513,129,5110,red
514,129,9761,red
515,129,11089,blue
516,129,7209,blue
517,130,12808,red
518,130,10641,red
519,130,417,blue
520,130,10219,blue
521,131,7477,red
522,131,14210,red
523,131,11411,blue
524,131,11104,blue
525,132,6547,red
526,132,5815,red
527,132,8651,blue
528,132,11737,blue
529,133,14241,red
530,133,7776,red
531,133,12973,blue
532,133,5190,blue
533,134,12503,red
534,134,14240,red
535,134,4042,blue
536,134,4641,blue
537,135,5009,red
538,135,7593,red
539,135,8372,blue
540,135,7105,blue
541,136,9048,red
542,136,359,red
543,136,4216,blue
544,136,9804,blue
545,137,7802,red
546,137,12016,red
547,137,6436,blue
548,137,3409,blue
549,138,12993,red
550,138,14217,red
551,138,8375,blue
552,138,3101,blue
553,139,5220,red
554,139,11256,red
555,139,11053,blue
556,139,10337,blue
557,140,4602,red
558,140,12499,red
559,140,5214,blue
560,140,5667,blue
561,141,9778,red
562,141,5119,red
563,141,4133,blue
564,141,7161,blue
565,142,8081,red
566,142,6322,red
567,142,7224,blue
568,142,6929,blue
569,143,9662,red
570,143,6220,red
571,143,9441,blue
572,143,408,blue
573,144,11138,red
574,144,14290,red
575,144,12670,blue
576,144,6109,blue
